Flex1,Flex2,Flex3,Flex4,Flex5,Pressure
160,112,39,55,396,407
158,110,39,57,395,400
158,107,38,54,394,403
160,112,39,55,396,407
37,83,27,99,519,566
219,120,42,84,469,522
203,121,43,74,440,490
184,122,39,69,425,467
183,119,38,61,420,452
182,118,41,64,414,443
176,122,43,58,412,435
174,120,41,59,410,430
169,118,44,63,409,429
170,123,41,58,406,424
165,118,41,62,407,421
170,119,40,61,405,419
164,117,38,56,409,418
169,117,41,59,405,415
160,117,41,56,401,414
166,116,42,54,403,412
162,115,36,54,400,412
162,113,37,57,400,411
163,116,40,54,401,412
167,115,41,55,403,410
159,115,41,57,402,410
158,115,42,55,403,413
168,116,40,60,401,412
157,115,38,59,400,410
160,113,36,54,403,412
165,112,40,56,403,409
157,115,41,57,399,408
162,113,42,52,400,408
159,112,35,51,393,408
166,111,37,56,399,411
158,110,37,54,398,408
162,114,38,56,402,407
162,112,39,58,399,407
161,116,38,55,400,407
162,111,43,59,398,407
161,113,40,58,398,411
160,111,38,53,399,410
161,112,39,54,400,409
161,111,39,55,398,406
162,110,38,57,396,405
158,109,36,54,396,404
157,109,36,54,394,405
163,108,35,53,396,408
156,108,35,57,396,407
160,112,40,55,397,405
157,111,41,57,398,405
164,115,41,56,399,406
164,112,38,59,396,407
158,112,39,55,397,406
162,112,36,55,397,406
162,115,42,55,402,406
157,113,38,52,398,404
163,111,39,53,393,403
157,108,38,52,392,403
158,108,37,52,394,404
159,111,37,54,396,405
160,111,37,57,396,405
161,110,41,56,397,404
157,114,42,58,398,407
164,115,40,57,396,404
159,111,38,55,396,406
162,112,38,54,397,406
155,112,37,52,397,405
162,112,37,54,397,403
167,111,40,54,395,402
161,109,41,53,391,402
165,113,38,52,393,403
163,110,37,55,394,403
152,110,39,52,394,403
159,116,40,55,398,402
159,116,42,55,397,403
162,111,40,59,398,404
158,111,39,55,393,405
161,112,37,56,397,404
159,110,36,53,394,404
159,111,37,56,398,407
157,106,39,54,393,402
158,112,37,51,394,400
159,108,40,53,392,401
160,110,37,52,394,404
159,110,37,53,394,404
159,108,39,54,396,405
161,111,41,54,398,402
165,116,41,54,397,402
159,114,41,55,395,403
157,113,38,55,394,404
160,111,37,56,395,404
157,111,39,54,396,407
161,110,39,54,394,401
160,108,39,54,393,401
155,108,40,54,394,401
160,107,36,51,392,403
156,108,34,54,394,403
160,110,38,55,395,403
157,111,41,56,396,403
165,116,41,53,398,402
155,110,41,57,394,403
161,111,40,54,393,403
157,110,38,54,395,403
155,109,37,53,395,403
162,108,35,51,395,402
161,110,37,51,396,400
159,106,37,52,394,401
159,111,37,51,393,401
